Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-15-00000284-50-26.12.31-SECD-23FF45EE;00000284;;;;;;
M-15-00000285-50-26.12.31-SECD-23FF45EE;00000285;;;;;;
M-15-00000286-50-26.12.31-SECD-23FF45EE;00000286;;;;;;
M-15-00000287-50-26.12.31-SECD-23FF45EE;00000287;;;;;;
M-15-00000288-50-26.12.31-SECD-23FF45EE;00000288;;;;;;
M-15-00000289-50-26.12.31-SECD-23FF45EE;00000289;;;;;;
M-15-00000290-50-26.12.31-SECD-23FF45EE;00000290;;;;;;
M-15-00000291-50-26.12.31-SECD-23FF45EE;00000291;;;;;;
M-15-00000292-50-26.12.31-SECD-23FF45EE;00000292;;;;;;
M-15-00000293-50-26.12.31-SECD-23FF45EE;00000293;;;;;;
M-15-00000294-50-26.12.31-SECD-23FF45EE;00000294;;;;;;
M-15-00000295-50-26.12.31-SECD-23FF45EE;00000295;;;;;;
M-15-00000296-50-26.12.31-SECD-23FF45EE;00000296;;;;;;
M-15-00000297-50-26.12.31-SECD-23FF45EE;00000297;;;;;;
M-15-00000298-50-26.12.31-SECD-23FF45EE;00000298;;;;;;
M-15-00000299-50-26.12.31-SECD-23FF45EE;00000299;;;;;;
M-15-00000300-50-26.12.31-SECD-23FF45EE;00000300;;;;;;
M-15-00000301-50-26.12.31-SECD-23FF45EE;00000301;;;;;;
M-15-00000302-50-26.12.31-SECD-23FF45EE;00000302;;;;;;
M-15-00000303-50-26.12.31-SECD-23FF45EE;00000303;;;;;;
M-15-00000304-50-26.12.31-SECD-23FF45EE;00000304;;;;;;
M-15-00000305-50-26.12.31-SECD-23FF45EE;00000305;;;;;;
M-15-00000306-50-26.12.31-SECD-23FF45EE;00000306;;;;;;
M-15-00000307-50-26.12.31-SECD-23FF45EE;00000307;;;;;;
M-15-00000308-50-26.12.31-SECD-23FF45EE;00000308;;;;;;
M-15-00000309-50-26.12.31-SECD-23FF45EE;00000309;;;;;;
M-15-00000310-50-26.12.31-SECD-23FF45EE;00000310;;;;;;
M-15-00000311-50-26.12.31-SECD-23FF45EE;00000311;;;;;;
M-15-00000312-50-26.12.31-SECD-23FF45EE;00000312;;;;;;
M-15-00000313-50-26.12.31-SECD-23FF45EE;00000313;;;;;;
M-15-00000314-50-26.12.31-SECD-23FF45EE;00000314;;;;;;
M-15-00000315-50-26.12.31-SECD-23FF45EE;00000315;;;;;;
M-15-00000316-50-26.12.31-SECD-23FF45EE;00000316;;;;;;
M-15-00000317-50-26.12.31-SECD-23FF45EE;00000317;;;;;;
