Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-1-00000166-50-26.12.31-SECD-23FF45EE;00000166;;;;;;
M-1-00000167-50-26.12.31-SECD-23FF45EE;00000167;;;;;;
M-1-00000168-50-26.12.31-SECD-23FF45EE;00000168;;;;;;
M-1-00000169-50-26.12.31-SECD-23FF45EE;00000169;;;;;;
M-1-00000170-50-26.12.31-SECD-23FF45EE;00000170;;;;;;
M-1-00000171-50-26.12.31-SECD-23FF45EE;00000171;;;;;;
M-1-00000172-50-26.12.31-SECD-23FF45EE;00000172;;;;;;
M-1-00000173-50-26.12.31-SECD-23FF45EE;00000173;;;;;;
M-1-00000174-50-26.12.31-SECD-23FF45EE;00000174;;;;;;
M-1-00000175-50-26.12.31-SECD-23FF45EE;00000175;;;;;;
M-1-00000176-50-26.12.31-SECD-23FF45EE;00000176;;;;;;
M-1-00000177-50-26.12.31-SECD-23FF45EE;00000177;;;;;;
M-1-00000178-50-26.12.31-SECD-23FF45EE;00000178;;;;;;
M-1-00000179-50-26.12.31-SECD-23FF45EE;00000179;;;;;;
M-1-00000180-50-26.12.31-SECD-23FF45EE;00000180;;;;;;
M-1-00000181-50-26.12.31-SECD-23FF45EE;00000181;;;;;;
M-1-00000182-50-26.12.31-SECD-23FF45EE;00000182;;;;;;
M-1-00000183-50-26.12.31-SECD-23FF45EE;00000183;;;;;;
M-1-00000184-50-26.12.31-SECD-23FF45EE;00000184;;;;;;
M-1-00000185-50-26.12.31-SECD-23FF45EE;00000185;;;;;;
M-1-00000186-50-26.12.31-SECD-23FF45EE;00000186;;;;;;
M-1-00000187-50-26.12.31-SECD-23FF45EE;00000187;;;;;;
M-1-00000188-50-26.12.31-SECD-23FF45EE;00000188;;;;;;
M-1-00000189-50-26.12.31-SECD-23FF45EE;00000189;;;;;;
M-1-00000190-50-26.12.31-SECD-23FF45EE;00000190;;;;;;
M-1-00000191-50-26.12.31-SECD-23FF45EE;00000191;;;;;;
M-1-00000192-50-26.12.31-SECD-23FF45EE;00000192;;;;;;
M-1-00000193-50-26.12.31-SECD-23FF45EE;00000193;;;;;;
M-1-00000194-50-26.12.31-SECD-23FF45EE;00000194;;;;;;
M-1-00000195-50-26.12.31-SECD-23FF45EE;00000195;;;;;;
M-1-00000196-50-26.12.31-SECD-23FF45EE;00000196;;;;;;
M-1-00000197-50-26.12.31-SECD-23FF45EE;00000197;;;;;;
M-1-00000198-50-26.12.31-SECD-23FF45EE;00000198;;;;;;
M-1-00000199-50-26.12.31-SECD-23FF45EE;00000199;;;;;;
M-1-00000200-50-26.12.31-SECD-23FF45EE;00000200;;;;;;
